provincia,,,,,,,
44162,,,,,,,
,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,
,,Tilarán,,218,151,3,64
,,,Arenal,23,18,2,3
,,,Líbano,4,4,0,0
,,,Quebrada Grande,28,20,0,8
,,,Santa Rosa,18,12,0,6
,,,Tierras Morenas,11,3,0,8
,,,Tilarán,112,82,1,29
,,,Tronadora,22,12,0,10
,,,Sin información de distrito,0,0,0,0
,,Sin información de Cantón,,0,0,0,0
Puntarenas,,,,11161,6235,144,4782
,,Buenos Aires,,477,45,9,423
,,,Biolley,6,2,1,3
,,,Boruca,16,3,0,13
,,,Brunka,36,2,1,33
,,,Buenos Aires,334,32,5,297
,,,Chánguena,2,0,0,2
,,,Colinas,3,0,0,3
,,,Pilas,3,0,0,3
,,,Potrero Grande,44,3,2,39
,,,Volcán,33,3,0,30
,,,Sin información de distrito,0,0,0,0
,,Corredores,,1341,857,12,472
,,,Canoas,465,324,3,138
,,,Corredor,535,329,5,201
,,,La Cuesta,179,105,2,72
,,,Laurel,160,99,2,59
,,,Sin información de distrito,2,0,0,2
,,Coto Brus,,316,88,6,222
,,,Aguabuena,45,12,0,33
,,,Gutiérrez Braun,20,6,1,13
,,,Limoncito,39,3,1,35
,,,Pittier,14,6,0,8
,,,Sabalito,69,21,0,48
,,,San Vito,115,40,4,71
,,,Sin información de distrito,14,0,0,14
,,Esparza,,956,517,11,428
,,,Caldera,47,29,1,17
,,,Espíritu Santo,544,308,7,229
,,,Macacona,167,88,2,77
,,,San Jerónimo,23,11,0,12
,,,San Juan Grande,144,65,1,78
,,,San Rafael,27,13,0,14
,,,Sin información de distrito,4,3,0,1
,,Garabito,,1002,624,9,369
,,,Jacó,823,521,6,296
,,,Tárcoles,172,96,3,73
,,,Sin información de distrito,7,7,0,0
,,Golfito,,614,278,2,334
,,,Golfito,182,87,0,95
,,,Guaycará,287,107,1,179
,,,Pavón,79,50,1,28
,,,Puerto Jiménez,65,33,0,32
,,,Sin información de distrito,1,1,0,0
,,Montes de Oro,,494,288,6,200
,,,La Unión,9,5,0,4
,,,Miramar,345,205,5,135
,,,San Isidro,139,77,1,61
,,,Sin información de distrito,1,1,0,0
,,Osa,,427,207,15,205
,,,Bahía Ballena,34,11,0,23
,,,Bahía Drake,10,3,0,7
,,,Palmar,230,132,11,87
,,,Piedras Blancas,46,22,1,23
,,,Puerto Cortés,88,30,1,57
,,,Sierpe,16,6,2,8
,,,Sin información de distrito,3,3,0,0
,,Parrita,,305,241,3,61
,,,Parrita,303,239,3,61
,,,Sin información de distrito,2,2,0,0
,,Puntarenas,,4510,2586,60,1864
,,,Acapulco,63,31,1,31
,,,Arancibia,4,3,1,0
,,,Barranca,1745,1271,23,451
,,,Chacarita,804,192,15,597
,,,Chira,24,14,1,9
,,,Chomes,151,71,2,78
,,,Cóbano,104,80,1,23
,,,El Roble,644,338,7,299
,,,Guacimal,18,16,0,2
,,,Isla del Coco,0,0,0,0
,,,Lepanto,184,136,1,47
,,,Manzanillo,32,15,0,17
,,,Monte Verde,49,37,1,11
,,,Paquera,151,101,1,49
,,,Pitahaya,53,29,2,22
,,,Puntarenas,473,244,4,225
,,,Sin información de distrito,11,8,0,3
,,Quepos,,719,504,11,204
,,,Naranjito,83,58,2,23
,,,Quepos,602,418,9,175
,,,Savegre,32,26,0,6
,,,Sin información de distrito,2,2,0,0
,,Sin información de Cantón,,0,0,0,0
Limón,,,,10447,6627,101,3719
,,Guácimo,,785,519,7,259
,,,Duacarí,83,40,0,43
,,,Guácimo,375,248,3,124
,,,Mercedes,41,30,0,11
,,,Pocora,142,100,2,40
,,,Río Jiménez,142,99,2,41
,,,Sin información de distrito,2,2,0,0
,,Limón,,3633,2833,32,768
,,,Limón,2480,1932,25,523
,,,Matama,172,125,1,46
,,,Río Blanco,278,218,2,58
